     	!=    	(    	)    	*    	+    	,    	-    	;    	<    	<=    	=    	==    	>    	>=    	[    	]    	and   	begin  	call   	do    	else   	end   	false  	id    	if    integer 	not   	num   	or    	proc   	real   record  	then   	true   	while  	#    	B    	B1    	B2    	C    	D    	E    	E1    	E2    	EL    	L    	P    	P'    	R    	S    	S0    	S1    	S2    	S3    	T    	X    
0    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s584   	s553   	--    	--    	--    	--    	s543   	s579   	s525   	--    	--    	--    	s4    	s526   	s472   	--    	--    	s565   	--    	--    	--    	--    	--    	2    	--    	--    	--    	--    	547   	1    	--    	--    	541   	--    	551   	552   	--    	538   	466   	
1    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	acc   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
2    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s525   	--    	--    	--    	s4    	s526   	s472   	--    	--    	--    	r1    	--    	--    	--    	--    	3    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	538   	466   	
3    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s525   	--    	--    	--    	s4    	s526   	s472   	--    	--    	--    	r4    	--    	--    	--    	--    	3    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	538   	466   	
4    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s5    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
5    	--    	--    	--    	--    	--    	--    	--    	s6    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
6    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s525   	--    	--    	--    	s421   	s526   	s472   	--    	--    	--    	--    	--    	--    	--    	--    	7    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	463   	466   	
7    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s535   	s95   	--    	--    	--    	--    	s10   	s530   	s525   	--    	--    	--    	s421   	s526   	s472   	--    	--    	s133   	--    	--    	--    	--    	--    	420   	--    	--    	--    	--    	86    	--    	--    	--    	8    	--    	93    	94    	--    	463   	466   	
8    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s413   	s95   	--    	--    	--    	--    	s10   	s126   	r5    	--    	--    	--    	r5    	r5    	r5    	--    	--    	s133   	r5    	--    	--    	--    	--    	--    	--    	--    	--    	--    	86    	--    	--    	--    	9    	--    	93    	94    	--    	--    	--    	
9    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s413   	s95   	--    	--    	--    	--    	s10   	s126   	r3    	--    	--    	--    	r3    	r3    	r3    	--    	--    	s133   	r3    	--    	--    	--    	--    	--    	--    	--    	--    	--    	86    	--    	--    	--    	9    	--    	93    	94    	--    	--    	--    	
10    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s11   	--    	--    	--    	s83   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
11    	--    	s18   	--    	--    	--    	--    	s67   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s72   	--    	--    	--    	s76   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	12    	82    	71    	--    	77    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
12    	--    	--    	--    	--    	s14   	--    	--    	s13   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
13    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	r13   	r13   	--    	--    	--    	--    	r13   	r13   	r13   	--    	--    	--    	r13   	r13   	r13   	--    	--    	r13   	r13   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
14    	--    	s18   	--    	--    	--    	--    	s67   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	s72   	--    	--    	--    	s76   	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	15    	71    	--    	77    	--    	--    	--    	--    	--    	--    	--    	--    	--    	--    	
